,geoid,congdist
823,009-AJY,8
824,009-AJZ,8
825,009-AKA,8
826,009-AKC,8
827,009-AKD,8
828,009-AKE,8
829,009-AKF,8
830,009-AKG,8
831,009-AKH,8
832,009-AKI,8
833,009-AKJ,8
834,009-AKK,8
835,009-AKL,8
836,009-AKM,8
837,009-AKN,8
838,009-AKO,8
839,009-AKP,8
840,009-AKQ,8
841,009-AKT,8
842,009-AKU,8
843,009-AKV,8
844,009-AKW,8
845,009-AKX,8
846,009-AKY,8
847,009-AKZ,8
848,009-ALA,8
849,009-ALB,8
850,009-ALC,8
851,009-ALD,8
852,009-ALE,8
853,009-ALF,8
854,009-ALG,8
855,009-ALH,8
856,009-ALI,8
857,009-ALJ,8
858,009-ALK,8
859,009-ALL,8
860,009-ALM,1
861,009-ALN,1
862,009-ALN,8
863,009-ALO,1
864,009-ALP,8
865,009-ALQ,8
866,009-ALR,8
867,009-ALS,8
868,009-ALT,8
869,009-ALU,8
870,009-ALV,8
871,009-ALW,8
872,009-ALX,8
873,009-ALY,8
874,009-ALZ,8
875,009-AMA,8
876,009-AMB,8
877,009-AMC,8
878,009-AMD,8
879,010-AAA,18
880,010-AAC,18
881,010-AAD,18
882,010-AAE,18
883,010-AAF,18
884,010-AAG,18
885,010-AAJ,18
886,010-AAL,18
887,010-AAM,18
888,010-AAO,18
889,010-AAQ,18
890,010-AAR,18
891,010-AAS,18
892,010-AAV,18
893,010-AAW,18
894,010-AAX,18
895,010-AAY,18
896,010-AAZ,18
897,010-ABB,18
898,010-ABD,18
899,010-ABE,18
900,010-ABG,18
901,010-ABH,18
902,010-ABJ,18
903,010-ABK,18
904,010-ABL,18
905,011-AAA,4
906,011-AAB,4
907,011-AAE,4
908,011-AAH,4
909,011-AAK,4
910,011-AAN,4
911,011-AAP,4
912,011-AAR,4
913,011-AAT,4
914,011-AAW,4
915,011-AAY,4
916,011-ABA,4
917,011-ABB,4
918,011-ABD,4
919,011-ABF,4
920,011-ABH,4
921,011-ABK,4
922,011-ABM,4
923,011-ABO,4
924,011-ABQ,4
925,011-ABR,4
926,011-ABS,4
927,011-ABT,4
928,011-ABU,4
929,011-ABV,4
930,011-ABW,4
931,011-ABY,4
932,011-ACA,4
933,012-AAA,7
934,012-AAB,7
935,012-AAE,7
936,012-AAG,7
937,012-AAH,7
938,012-AAI,7
939,012-AAJ,7
940,012-AAK,7
941,012-AAL,7
942,012-AAO,7
943,012-AAP,7
944,012-AAQ,7
945,012-AAR,7
946,012-AAS,7
947,012-AAT,7
948,012-ABC,7
949,012-ABD,7
950,012-ABE,7
951,012-ABF,7
952,012-ABG,7
953,012-ABH,7
954,012-ABI,7
955,012-ABJ,7
956,012-ABK,7
957,012-ABX,7
958,012-ABZ,7
959,012-ACA,7
960,012-ACB,7
961,012-ACC,7
962,012-ACD,7
963,012-ACF,7
964,012-ACG,7
965,012-ACH,7
966,012-ACI,7
967,012-ACM,7
968,012-ACN,7
969,012-ACO,7
970,012-ACR,7
971,012-ACT,7
972,012-ACU,7
973,012-ACV,7
974,012-ADA,7
975,012-ADB,7
976,012-ADD,7
977,012-ADF,7
978,012-ADG,7
979,012-ADH,7
980,012-ADI,7
981,012-ADJ,7
982,012-ADK,7
983,012-ADM,7
984,012-ADN,7
985,012-ADO,7
986,012-ADP,7
987,012-ADQ,7
988,012-ADS,7
989,012-ADV,7
990,012-ADW,7
991,012-ADZ,7
992,012-AEA,7
993,012-AEB,7
994,012-AED,7
995,012-AEF,7
996,012-AEG,7
997,012-AEI,7
998,012-AEK,7
999,012-AEM,7
1000,012-AEN,7
1001,012-AEP,7
1002,012-AEQ,7
1003,012-AER,7
1004,012-AET,7
1005,012-AEU,7
1006,012-AEV,7
1008,012-AEW,7
1009,012-AEX,7
1010,012-AEY,7
1011,012-AFA,7
1012,012-AFB,7
1013,012-AFD,7
1014,012-AFE,7
1015,012-AFF,7
1016,012-AFG,7
1017,012-AFH,7
1018,012-AFI,7
1019,012-AFL,7
1020,012-AFM,7
1021,012-AFN,7
1022,012-AFO,7
1023,012-AFP,7
1024,012-AFQ,7
1025,012-AFR,7
1026,012-AFW,7
1027,012-AFX,7
1028,012-AFY,7
1029,012-AFZ,7
1030,012-AGA,7
1031,012-AGB,7
1032,012-AGC,7
1033,012-AGD,7
1034,013-AAA,2
1035,013-AAB,2
1036,013-AAC,2
1037,013-AAD,2
1038,013-AAE,2
1039,013-AAF,2
1040,013-AAG,2
1041,013-AAH,2
1042,013-AAI,2
1043,013-AAJ,2
1044,013-AAK,2
1045,013-AAL,2
1046,013-AAM,2
1047,013-AAN,2
1048,013-AAO,2
1049,013-AAP,2
1050,013-AAQ,2
1051,013-AAR,2
1052,013-AAS,2
1053,013-AAT,2
1054,013-AAU,2
1055,013-AAV,2
1056,013-AAZ,2
1057,013-ABA,2
1058,013-ABB,2
1059,013-ABC,2
1060,013-ABD,2
1061,013-ABE,2
1062,013-ABF,2
1063,013-ABG,2
1064,013-ABH,2
1065,013-ABI,2
1066,013-ABJ,2
1067,013-ABK,2
1068,013-ABL,2
1069,013-ABM,2
1070,013-ABN,2
1071,013-ABO,2
1072,013-ABP,2
1073,013-ABQ,2
1074,013-ABR,2
1075,013-ABS,2
1076,013-ABT,2
1077,013-ABU,2
1078,013-ABV,2
1079,013-ABW,2
1080,013-ABX,2
1081,013-ABY,2
1082,013-ABZ,2
1083,013-ACA,2
1084,013-ACB,2
1085,013-ACC,2
1086,013-ACD,2
1087,013-ACE,2
1088,013-ACF,2
1089,013-ACG,2
1090,013-ACH,2
1091,013-ACI,2
1092,013-ACJ,2
1093,013-ACK,2
1094,013-ACL,2
1095,013-ACM,2
1096,013-ACN,2
1097,013-ACO,2
1098,013-ACP,2
1099,013-ACQ,2
1100,013-ACR,2
1101,013-ACS,2
1102,013-ACT,2
1103,013-ACU,2
1104,013-ACV,2
1105,013-ACW,2
1106,013-ACX,2
1107,013-ACY,2
1108,013-ACZ,2
1109,013-ADA,2
1110,013-ADB,2
1111,013-ADC,2
1112,013-ADD,2
1113,013-ADE,2
1114,013-ADF,2
1115,013-ADG,2
1116,013-ADH,2
1117,013-ADI,2
1118,013-ADJ,2
1119,013-ADK,2
1120,013-ADL,2
1121,013-ADM,2
1122,013-ADN,2
1123,013-ADO,2
1124,013-ADP,2
1125,013-ADQ,2
1126,013-ADR,2
1127,013-ADS,2
1128,013-ADT,2
1129,013-ADU,2
1130,013-ADV,2
1131,013-ADW,2
1132,013-ADX,2
1133,013-ADY,2
1134,013-ADZ,2
1135,013-AEA,2
1136,013-AEB,2
1137,013-AEC,2
1138,013-AED,2
1139,013-AEE,2
1140,013-AEF,2
1141,013-AEG,2
1142,013-AEH,2
1143,013-AEI,2
1144,013-AEJ,2
1145,013-AEK,2
1146,013-AEL,2
1147,013-AEM,2
1148,013-AEN,2
1149,013-AEO,2
1150,013-AEP,2
1151,013-AEQ,2
1152,013-AER,2
1153,013-AES,2
1154,013-AET,2
1155,013-AEU,2
1156,013-AEV,2
1157,013-AEW,2
1158,013-AEX,2
1159,013-AEY,2
1160,013-AEZ,2
1161,013-AFA,2
1162,013-AFB,2
1163,013-AFC,2
1164,013-AFD,2
1165,013-AFE,2
1166,013-AFF,2
1167,013-AFG,2
1168,013-AFH,2
1169,013-AFI,2
1170,013-AFJ,2
1171,013-AFK,2
1172,013-AFL,2
1173,013-AFM,2
1174,013-AFO,2
1175,013-AFP,2
1176,013-AFQ,2
1177,013-AFR,2
1178,013-AFS,2
1179,013-AFT,2
1180,013-AFU,2
1181,013-AFV,2
1182,013-AFW,2
1183,013-AFX,2
1184,013-AFY,2
1185,013-AGA,2
1186,013-AGC,2
1187,013-AGD,2
1188,013-AGE,2
1189,013-AGG,2
1190,013-AGH,2
1191,013-AGI,2
1192,013-AGJ,2
1193,013-AGK,2
1194,013-AGL,2
1195,013-AGM,2
1196,013-AGN,2
1197,013-AGO,2
1198,013-AGP,2
1199,013-AGQ,2
1200,013-AGR,2
1201,013-AGS,2
1202,013-AGT,2
1203,013-AGU,2
1204,013-AGV,2
1205,013-AGW,2
1206,013-AGX,2
1207,013-AGY,2
1208,013-AGZ,2
1209,013-AHA,2
1210,013-AHB,2
1211,013-AHC,2
1212,013-AHD,2
1213,013-AHE,2
1214,013-AHF,2
1215,013-AHG,2
1216,013-AHH,2
1217,013-AHI,2
1218,013-AHJ,2
1219,013-AHK,2
1220,013-AHL,2
1221,013-AHM,2
1222,013-AHN,2
1223,013-AHO,2
1224,013-AHP,2
1225,013-AHQ,2
1226,013-AHR,2
1227,013-AHS,2
1228,013-AHT,2
1229,013-AHU,2
1230,013-AHV,2
1231,013-AHW,2
1232,013-AHX,2
1233,013-AHY,2
1234,014-AAA,3
1235,014-AAB,3
1236,014-AAE,3
1237,014-AAF,3
1238,014-AAI,3
1239,014-AAJ,3
1240,014-AAM,3
1241,014-AAN,3
1242,014-AAQ,3
1243,014-AAS,3
1244,014-AAU,3
1245,014-AAW,3
1246,014-AAY,3
1247,014-ABA,3
1248,014-ABB,3
1249,014-ABC,3
1250,014-ABD,3
1251,014-ABE,3
1252,014-ABG,3
1253,014-ABI,3
1254,014-ABJ,3
1255,014-ABK,3
1256,014-ABM,3
1257,014-ABN,3
1258,014-ABQ,3
1259,014-ABR,3
1260,014-ABS,3
1261,014-ABT,3
1262,014-ABU,3
1263,014-ABW,3
1264,014-ABX,3
1265,014-ABY,3
1266,015-AAA,6
1267,015-AAB,6
1268,015-AAC,6
1269,015-AAF,6
1270,015-AAG,6
1271,015-AAH,6
1272,015-AAK,6
1273,015-AAL,6
1274,015-AAM,6
1275,015-AAP,6
1276,015-AAQ,6
1277,015-AAR,6
1278,015-AAS,6
1279,015-AAU,6
1280,015-AAW,6
1281,015-AAX,6
1282,015-ABA,6
1283,015-ABB,6
1284,015-ABC,6
1285,015-ABE,6
1286,015-ABF,6
1287,015-ABG,6
1288,015-ABI,6
1289,015-ABJ,6
1290,015-ABK,6
1291,015-ABL,6
1292,015-ABM,6
1293,015-ABN,6
1294,015-ABO,6
1295,015-ABQ,6
1296,015-ABR,6
1297,015-ABT,6
1298,015-ABV,6
1299,015-ABW,6
1300,015-ABX,6
1301,015-ABY,6
1302,015-ABZ,6
1303,015-ACB,6
1304,015-ACC,6
1305,015-ACD,6
1306,015-ACE,6
1307,015-ACH,6
1308,015-ACI,6
1309,015-ACJ,6
1310,015-ACK,6
1311,015-ACM,6
1312,015-ACN,6
1313,015-ACP,6
1314,015-ACQ,6
1315,015-ACR,6
1316,015-ACS,6
1317,015-ACT,6
1318,015-ACU,6
1319,015-ACV,6
1320,015-ACW,6
1321,015-ACZ,6
1322,015-ADB,6
1323,015-ADC,6
1324,015-ADD,6
1325,015-ADF,6
1326,015-ADG,6
1327,015-ADH,6
1328,015-ADI,6
1329,015-ADJ,6
1330,015-ADL,6
1331,015-ADM,6
1332,015-ADN,6
1333,015-ADO,6
1334,015-ADP,6
1335,015-ADQ,6
1336,015-ADR,6
1337,015-ADS,6
1338,015-ADU,6
1339,015-ADW,6
1340,015-ADX,6
1341,015-ADY,6
1342,015-ADZ,6
1343,015-AEA,6
1344,015-AED,6
1345,015-AEF,6
1346,015-AEG,6
1347,015-AEH,6
