,congdist,geoid
912,4.0,006-ABO
913,4.0,006-ABO
914,4.0,006-ABP
915,4.0,006-ABP
916,4.0,006-ABQ
917,4.0,006-ABQ
919,6.0,007-ACD
921,6.0,007-ACX
923,6.0,007-ACZ
925,6.0,007-AAA
927,6.0,007-AAB
929,6.0,007-AAE
931,6.0,007-ABD
933,6.0,007-ABE
935,6.0,007-ABV
937,6.0,007-ABW
939,6.0,007-ABQ
941,6.0,007-ABS
943,6.0,007-ABU
945,6.0,007-ACQ
947,6.0,007-AAV
949,6.0,007-AAU
951,6.0,007-AAW
953,6.0,007-AAX
955,6.0,007-AAY
957,6.0,007-AAZ
959,6.0,007-ABN
960,18.0,007-ADF
961,18.0,007-ADF
963,6.0,007-ABA
965,6.0,007-ABC
967,6.0,007-ADL
969,6.0,007-ABF
971,6.0,007-ABB
973,6.0,007-ABG
975,6.0,007-ACV
977,6.0,007-AAF
979,6.0,007-AAH
981,6.0,007-AAJ
983,6.0,007-AAK
985,6.0,007-AAL
987,6.0,007-ABP
989,6.0,007-ACU
991,6.0,007-ACE
993,6.0,007-ABZ
995,6.0,007-ABY
997,6.0,007-ABX
999,6.0,007-ADI
1001,6.0,007-ADW
1003,6.0,007-ACF
1005,6.0,007-ACH
1006,18.0,007-ACJ
1007,18.0,007-ACJ
1008,18.0,007-ACK
1009,18.0,007-ACK
1010,18.0,007-ACL
1011,18.0,007-ACL
1012,18.0,007-ACM
1013,18.0,007-ACM
1014,18.0,007-ACN
1015,18.0,007-ACN
1016,18.0,007-ACO
1017,18.0,007-ACO
1018,18.0,007-ACP
1019,18.0,007-ACP
1021,6.0,007-ABH
1023,6.0,007-ABI
1025,6.0,007-ABL
1027,6.0,007-ACS
1028,18.0,007-AAN
1029,18.0,007-AAN
1030,18.0,007-AAO
1031,18.0,007-AAO
1032,18.0,007-AAP
1033,18.0,007-AAP
1034,18.0,007-AAQ
1035,18.0,007-AAQ
1036,18.0,007-AAR
1037,18.0,007-AAR
1038,18.0,007-AAS
1039,18.0,007-AAS
1040,18.0,007-AAT
1041,18.0,007-AAT
1043,6.0,007-ACT
1045,6.0,007-ACW
1046,18.0,007-ADH
1047,18.0,007-ADH
1049,6.0,007-ADB
1051,6.0,007-ADD
1053,6.0,007-ADE
1055,6.0,007-ADK
1056,2.0,008-AAK
1057,2.0,008-AAK
1058,2.0,008-AAL
1059,2.0,008-AAL
1060,2.0,008-AAA
1061,2.0,008-AAA
1062,2.0,008-ACD
1063,2.0,008-ACD
1064,2.0,008-ACE
1065,2.0,008-ACE
1066,2.0,008-ACF
1067,2.0,008-ACF
1068,2.0,008-AAF
1069,2.0,008-AAF
1070,2.0,008-ABS
